iter	Passed	Remaining
0	2	214
1	4	210
2	7	230
3	8	212
4	10	207
5	13	215
6	16	213
7	18	212
8	20	208
9	22	205
10	25	202
11	26	197
12	28	191
13	30	185
14	32	181
15	33	177
16	35	172
17	36	167
18	38	165
19	40	160
20	41	157
21	43	154
22	45	152
23	46	148
24	48	146
25	50	142
26	51	140
27	53	137
28	55	135
29	56	132
30	58	130
31	60	128
32	62	126
33	63	123
34	65	121
35	67	119
36	68	117
37	70	114
38	72	112
39	73	110
40	75	108
41	75	104
42	77	103
43	79	100
44	81	99
45	82	97
46	84	95
47	85	93
48	87	91
49	89	89
50	90	87
51	92	85
52	94	83
53	95	81
54	96	79
55	98	77
56	99	75
57	101	73
58	103	71
59	104	69
60	106	67
61	107	66
62	109	64
63	111	62
64	112	60
65	114	58
66	116	57
67	117	55
68	119	53
69	120	51
70	122	50
71	124	48
72	125	46
73	127	44
74	128	42
75	130	41
76	131	39
77	133	37
78	135	36
79	137	34
80	139	32
81	141	31
82	143	29
83	145	27
84	147	25
85	148	24
86	150	22
87	152	20
88	153	19
89	155	17
90	157	15
91	158	13
92	160	12
93	161	10
94	163	8
95	165	6
96	166	5
97	168	3
98	169	1
99	171	0
